ID,S_ID,Case Number,Description,District,Ward,FBI Code,Year
1323163,13583,G015916,TELEPHONE THREAT,20.0,,26,2001.0
1323164,13584,G017463,TELEPHONE THREAT,7.0,,26,2001.0
1323165,13585,G016537,$500 AND UNDER,1.0,,6,2001.0
1323167,13586,G016321,TO PROPERTY,10.0,,14,2001.0
1323170,13587,G016718,SIMPLE,7.0,,08B,2001.0
1323171,13588,G015004,SIMPLE,19.0,,08A,2001.0
1323172,13589,G016458,AUTOMOBILE,22.0,,7,2001.0
1323173,13590,G016790,STRONGARM - NO WEAPON,17.0,,3,2001.0
1323174,13591,G016688,TELEPHONE THREAT,10.0,,26,2001.0
1323175,13592,G014187,TELEPHONE THREAT,5.0,,26,2001.0
1323177,13593,G016222,$500 AND UNDER,2.0,,6,2001.0
1323178,13594,G015462,SIMPLE,10.0,,08B,2001.0
1323179,13595,G016359,TO VEHICLE,10.0,,14,2001.0
1323183,13596,G017459,HARASSMENT BY TELEPHONE,2.0,,26,2001.0
1323184,13597,G017467,HARASSMENT BY TELEPHONE,22.0,,26,2001.0
1323185,13598,G016201,TO STATE SUP LAND,4.0,,26,2001.0
1323187,13599,G014335,AUTOMOBILE,2.0,,7,2001.0
1323188,13600,G016047,THEFT/RECOVERY: AUTOMOBILE,24.0,,7,2001.0
1323189,13601,G017006,TO VEHICLE,10.0,,14,2001.0
1323191,13602,G016749,TO LAND,7.0,,26,2001.0
1323194,13603,G017479,OVER $500,14.0,,6,2001.0
1323197,13604,G016770,TO PROPERTY,10.0,,14,2001.0
1323198,13605,G017451,FORCIBLE ENTRY,20.0,,5,2001.0
1323202,13606,G016982,VIOLATE ORDER OF PROTECTION,7.0,,26,2001.0
1323203,13607,G017475,TO PROPERTY,8.0,,14,2001.0
1323205,13608,G016455,VIOLATE ORDER OF PROTECTION,5.0,,26,2001.0
1323208,13609,G007575,$500 AND UNDER,6.0,,6,2001.0
1323209,13610,G012027,AGGRAVATED: HANDGUN,9.0,,04B,2001.0
1323210,13611,G017101,SIMPLE,20.0,,08B,2001.0
1323211,13612,G012825,TO STATE SUP LAND,2.0,,26,2001.0
1323212,13613,G016314,TELEPHONE THREAT,2.0,,26,2001.0
1323216,13614,G015558,ARMED: HANDGUN,3.0,,3,2001.0
1323217,13615,G015341,FORCIBLE ENTRY,20.0,,5,2001.0
1323218,13616,G015271,OVER $500,22.0,,6,2001.0
1323222,13617,G014049,$500 AND UNDER,14.0,,6,2001.0
1323223,13618,G017493,$500 AND UNDER,2.0,,6,2001.0
1323226,13619,G016313,TELEPHONE THREAT,10.0,,26,2001.0
1323227,13620,G016387,$500 AND UNDER,25.0,,6,2001.0
1323228,13621,G016328,SIMPLE,3.0,,08A,2001.0
1323231,13622,G014489,$500 AND UNDER,9.0,,6,2001.0
1323234,13623,G017533,TO VEHICLE,24.0,,14,2001.0
1323235,13624,G016366,$500 AND UNDER,2.0,,6,2001.0
1323237,13625,G012843,$500 AND UNDER,2.0,,6,2001.0
1323239,13626,G015733,SIMPLE,16.0,,08B,2001.0
1323241,13627,G012531,OVER $500,14.0,,6,2001.0
1323242,13628,G011954,$500 AND UNDER,6.0,,6,2001.0
1323243,13629,G016132,$500 AND UNDER,25.0,,6,2001.0
1323245,13630,G010694,TO VEHICLE,11.0,,14,2001.0
1323246,13631,G015302,AGGRAVATED,18.0,,3,2001.0
1323247,13632,G016205,FORCIBLE ENTRY,20.0,,5,2001.0
1323248,13633,G016024,TO STATE SUP LAND,10.0,,26,2001.0
1323255,13634,G017568,$500 AND UNDER,3.0,,6,2001.0
1323256,13635,G015349,$500 AND UNDER,9.0,,6,2001.0
1323257,13636,G013944,VEHICULAR HIJACKING,3.0,,3,2001.0
1323258,13637,G015397,$500 AND UNDER,6.0,,6,2001.0
1323259,13638,G016275,SIMPLE,16.0,,08B,2001.0
1323260,13639,G015908,TO STATE SUP LAND,10.0,,26,2001.0
1323261,13640,G015734,$500 AND UNDER,25.0,,6,2001.0
1323262,13641,G017565,OVER $500,12.0,,6,2001.0
1323265,13642,G015952,OVER $500,5.0,,6,2001.0
1323267,13643,G012909,OVER $500,2.0,,6,2001.0
1323268,13644,G014535,SIMPLE,4.0,,08B,2001.0
1323269,13645,G017576,OVER $500,18.0,,6,2001.0
1323270,13646,G016498,SIMPLE,2.0,,08B,2001.0
1323271,13647,G016227,TO VEHICLE,16.0,,14,2001.0
1323276,13648,G012673,SIMPLE,25.0,,08B,2001.0
1323278,13649,G016312,FORCIBLE ENTRY,9.0,,5,2001.0
1323279,13650,G015162,SIMPLE,4.0,,08B,2001.0
1323280,13651,G017559,TO VEHICLE,2.0,,14,2001.0
1323281,13652,G016524,TO PROPERTY,16.0,,14,2001.0
1323282,13653,G017583,$500 AND UNDER,1.0,,6,2001.0
1323283,13654,G017557,$500 AND UNDER,1.0,,6,2001.0
1323285,13655,G016462,SIMPLE,3.0,,08A,2001.0
1323286,13656,G016394,TO PROPERTY,20.0,,14,2001.0
1323287,13657,G015244,FORCIBLE ENTRY,9.0,,5,2001.0
1323290,13658,G015257,ARMED: HANDGUN,9.0,,3,2001.0
1323294,13659,G009380,FORCIBLE ENTRY,2.0,,5,2001.0
1323295,13660,G012036,SIMPLE,25.0,,08B,2001.0
1323296,13661,G014328,OVER $500,14.0,,6,2001.0
1323298,13662,G013515,ARMED: HANDGUN,9.0,,3,2001.0
1323299,13663,G017457,TO VEHICLE,24.0,,14,2001.0
1323304,13664,G017606,HARASSMENT BY TELEPHONE,17.0,,26,2001.0
1323305,13665,G017541,AUTOMOBILE,12.0,,7,2001.0
1323307,13666,G013571,TO STATE SUP LAND,2.0,,26,2001.0
1323313,13667,G017544,SIMPLE,8.0,,08B,2001.0
1323316,13668,G016601,TO LAND,2.0,,26,2001.0
1323317,13669,G014756,THEFT OF LABOR/SERVICES,20.0,,11,2001.0
1323319,13670,G017572,TO VEHICLE,9.0,,14,2001.0
1323322,13671,G014713,$500 AND UNDER,3.0,,6,2001.0
1323325,13672,G014996,SIMPLE,2.0,,08B,2001.0
1323326,13673,G015184,AGGRAVATED: HANDGUN,9.0,,04A,2001.0
1323328,13674,G015082,OTHER VEHICLE OFFENSE,22.0,,26,2001.0
1323329,13675,G014650,CHILD ABUSE,25.0,,20,2001.0
1323332,13676,G013754,$500 AND UNDER,14.0,,6,2001.0
1323333,13677,G015943,TO PROPERTY,16.0,,14,2001.0
1323336,13678,G015064,SIMPLE,2.0,,08B,2001.0
1323337,13679,G015872,OTHER VEHICLE OFFENSE,6.0,,26,2001.0
1323340,13680,G016010,ILLEGAL USE CASH CARD,5.0,,11,2001.0
1323341,13681,G016971,AGGRAVATED: OTHER DANG WEAPON,9.0,,04B,2001.0
1323343,13682,G015959,OVER $500,6.0,,6,2001.0
1323347,13683,G015029,ARMED: HANDGUN,2.0,,3,2001.0
1323348,13684,G016335,$500 AND UNDER,6.0,,6,2001.0
1323352,13685,G015501,FORCIBLE ENTRY,18.0,,5,2001.0
1323354,13686,G013331,$500 AND UNDER,14.0,,6,2001.0
1323355,13687,G017567,SIMPLE,17.0,,08A,2001.0
1323356,13688,G016396,$500 AND UNDER,6.0,,6,2001.0
1323357,13689,G017571,OVER $500,18.0,,6,2001.0
1323358,13690,G017623,UNLAWFUL ENTRY,25.0,,5,2001.0
1323359,13691,G017607,THEFT/RECOVERY: AUTOMOBILE,5.0,,7,2001.0
1323360,13692,G015400,$500 AND UNDER,1.0,,6,2001.0
1323361,13693,G015533,TELEPHONE THREAT,22.0,,26,2001.0
1323362,13694,G017203,TO PROPERTY,5.0,,14,2001.0
1323363,13695,G016931,THEFT/RECOVERY: AUTOMOBILE,9.0,,7,2001.0
1323364,13696,G015647,BOGUS CHECK,4.0,,11,2001.0
1323370,13697,G014282,TO VEHICLE,25.0,,14,2001.0
1323372,13698,G016477,$500 AND UNDER,6.0,,6,2001.0
1323373,13699,G015945,OVER $500,18.0,,6,2001.0
1323374,13700,G014976,SIMPLE,2.0,,08B,2001.0
1323376,13701,G016659,ATTEMPT: ARMED-HANDGUN,2.0,,3,2001.0
1323378,13702,G015795,$500 AND UNDER,20.0,,6,2001.0
1323380,13703,G017628,TO PROPERTY,6.0,,14,2001.0
1323381,13704,G016268,OVER $500,1.0,,6,2001.0
1323383,13705,G016187,$500 AND UNDER,5.0,,6,2001.0
1323385,13706,G016530,$500 AND UNDER,6.0,,6,2001.0
1323387,13707,G016624,TELEPHONE THREAT,22.0,,26,2001.0
1323389,13708,G013694,TO STATE SUP LAND,2.0,,26,2001.0
1323390,13709,G015792,OVER $500,18.0,,6,2001.0
1323392,13710,G015582,SIMPLE,1.0,,08A,2001.0
1323393,13711,G016635,THEFT/RECOVERY: AUTOMOBILE,9.0,,7,2001.0
1323394,13712,G016787,TELEPHONE THREAT,22.0,,26,2001.0
1323396,13713,G013494,TO VEHICLE,2.0,,14,2001.0
1323401,13714,G017578,OVER $500,8.0,,6,2001.0
1323404,13715,G013804,OTHER VEHICLE OFFENSE,9.0,,26,2001.0
1323406,13716,G017631,$500 AND UNDER,2.0,,6,2001.0
1323407,13717,G012168,TO LAND,2.0,,26,2001.0
1323410,13718,G016789,OTHER VEHICLE OFFENSE,22.0,,26,2001.0
1323411,13719,G012457,SIMPLE,1.0,,08B,2001.0
1323417,13720,G013894,SIMPLE,9.0,,08B,2001.0
1323421,13721,G017126,SIMPLE,7.0,,08A,2001.0
1323422,13722,G016710,TO PROPERTY,3.0,,14,2001.0
1323426,13723,G017659,TELEPHONE THREAT,14.0,,26,2001.0
1323427,13724,G015800,$500 AND UNDER,20.0,,6,2001.0
1323428,13725,G015527,OVER $500,18.0,,6,2001.0
1323430,13726,G003916,POSS: CRACK,15.0,,18,2001.0
1323431,13727,G016722,TELEPHONE THREAT,2.0,,26,2001.0
1323432,13728,G016219,THEFT OF LABOR/SERVICES,9.0,,11,2001.0
1323433,13729,G015862,SIMPLE,11.0,,08B,2001.0
1323434,13730,G007521,STOLEN PROP: BUY/RECEIVE/POS.,1.0,,13,2001.0
1323436,13731,G014042,SIMPLE,5.0,,08B,2001.0
1323437,13732,G017411,THEFT/RECOVERY: AUTOMOBILE,25.0,,7,2001.0
1323438,13733,G011852,SIMPLE,2.0,,08B,2001.0
1323439,13734,G017664,TO PROPERTY,3.0,,14,2001.0
1323443,13735,G017658,TELEPHONE THREAT,18.0,,26,2001.0
1323444,13736,G003910,POSS: CRACK,15.0,,18,2001.0
1323445,13737,G015384,TO PROPERTY,9.0,,14,2001.0
1323447,13738,G017208,$500 AND UNDER,18.0,,6,2001.0
1323449,13739,G017656,$500 AND UNDER,1.0,,6,2001.0
1323450,13740,G012579,THEFT OF LABOR/SERVICES,1.0,,11,2001.0
1323451,13741,G010743,TO LAND,2.0,,26,2001.0
1323452,13742,G015754,OVER $500,5.0,,6,2001.0
1323458,13743,G016163,ATTEMPT: STRONGARM-NO WEAPON,3.0,,3,2001.0
1323461,13744,G016398,$500 AND UNDER,20.0,,6,2001.0
1323462,13745,G016620,TO PROPERTY,20.0,,14,2001.0
1323463,13746,G017252,TO LAND,9.0,,26,2001.0
1323464,13747,G015686,SIMPLE,1.0,,08B,2001.0
1323466,13748,G017683,OVER $500,1.0,,6,2001.0
1323467,13749,G017661,AUTOMOBILE,11.0,,7,2001.0
1323468,13750,G017094,AGGRAVATED: HANDGUN,9.0,,04B,2001.0
1323469,13751,G017679,AUTOMOBILE,6.0,,7,2001.0
1323470,13752,G003693,POSS: HEROIN(WHITE),15.0,,18,2001.0
1323471,13753,G010836,AGGRAVATED:KNIFE/CUTTING INSTR,2.0,,04B,2001.0
1323475,13754,G016848,ARMED: HANDGUN,2.0,,3,2001.0
1323476,13755,G016792,$500 AND UNDER,18.0,,6,2001.0
1323477,13756,G016928,SEX OFFENDER: FAIL REG NEW ADD,9.0,,26,2001.0
1323482,13757,G015198,UNLAWFUL ENTRY,1.0,,5,2001.0
1323484,13758,G017206,SIMPLE,7.0,,08B,2001.0
1323485,13759,G003591,POSS: HEROIN(WHITE),15.0,,18,2001.0
1323491,13760,G016105,SIMPLE,18.0,,08A,2001.0
1323492,13761,G016940,TO PROPERTY,9.0,,14,2001.0
1323494,13762,G017703,$500 AND UNDER,3.0,,6,2001.0
1323496,13763,G017109,STRONGARM - NO WEAPON,1.0,,3,2001.0
1323500,13764,G015393,TO VEHICLE,9.0,,14,2001.0
1323505,13765,G013393,SIMPLE,2.0,,08B,2001.0
1323506,13766,G015346,TO PROPERTY,9.0,,14,2001.0
1323507,13767,G015816,FORCIBLE ENTRY,2.0,,5,2001.0
1323508,13768,G016880,SIMPLE,2.0,,08A,2001.0
1323510,13769,G017170,TO VEHICLE,1.0,,26,2001.0
1323512,13770,G017708,$500 AND UNDER,7.0,,6,2001.0
1323514,13771,G013334,TO PROPERTY,2.0,,14,2001.0
1323515,13772,G016406,TO PROPERTY,9.0,,14,2001.0
1323519,13773,G003469,POSS: HEROIN(WHITE),2.0,,18,2001.0
1323520,13774,G017701,FORCIBLE ENTRY,5.0,,5,2001.0
1323523,13775,G014397,TO LAND,3.0,,26,2001.0
1323524,13776,G013162,SIMPLE,2.0,,08B,2001.0
1323528,13777,G013848,AUTOMOBILE,20.0,,7,2001.0
1323531,13778,G016217,TO LAND,9.0,,26,2001.0
1323533,13779,G016172,FORCIBLE ENTRY,3.0,,5,2001.0
1323537,13780,G013791,SIMPLE,9.0,,08B,2001.0
1323538,13781,G014500,SIMPLE,2.0,,08B,2001.0
1323539,13782,G016714,SIMPLE,3.0,,08A,2001.0
1323540,13783,G016532,OVER $500,18.0,,6,2001.0
1323541,13784,G014118,SIMPLE,9.0,,08A,2001.0
1323546,13785,G016917,THEFT OF LOST/MISLAID PROP,2.0,,11,2001.0
1323547,13786,G017246,SIMPLE,9.0,,08B,2001.0
1323549,13787,G014523,SIMPLE,2.0,,08B,2001.0
1323550,13788,G017728,SIMPLE,7.0,,08A,2001.0
1323553,13789,G017189,SIMPLE,9.0,,08A,2001.0
1323554,13790,G015245,FORCIBLE ENTRY,3.0,,5,2001.0
1323555,13791,G016208,THEFT OF LABOR/SERVICES,1.0,,11,2001.0
1323560,13792,G015830,SIMPLE,2.0,,08B,2001.0
1323565,13793,G014921,THEFT OF LABOR/SERVICES,15.0,,11,2001.0
1323566,13794,G017201,SIMPLE,9.0,,08B,2001.0
1323567,13795,G017722,AUTOMOBILE,2.0,,7,2001.0
1323569,13796,G017749,TELEPHONE THREAT,4.0,,26,2001.0
1323572,13797,G017192,SIMPLE,9.0,,08B,2001.0
1323573,13798,G017740,OTHER VEHICLE OFFENSE,22.0,,26,2001.0
1323576,13799,G017742,$500 AND UNDER,4.0,,6,2001.0
1323577,13800,G015925,THEFT OF LABOR/SERVICES,1.0,,11,2001.0
1323579,13801,G016883,SIMPLE,9.0,,08B,2001.0
1323583,13802,G016459,SIMPLE,9.0,,08A,2001.0
1323585,13803,G014727,SIMPLE,2.0,,08B,2001.0
1323586,13804,G017030,SIMPLE,2.0,,08B,2001.0
1323587,13805,G015912,SIMPLE,9.0,,08B,2001.0
1323588,13806,G014962,TO LAND,3.0,,26,2001.0
1323590,13807,G017757,HARASSMENT BY TELEPHONE,16.0,,26,2001.0
1323592,13808,G014853,SIMPLE,9.0,,08B,2001.0
1323593,13809,G014434,SIMPLE,2.0,,08A,2001.0
1323595,13810,G016118,SIMPLE,15.0,,08B,2001.0
1323597,13811,G016021,SIMPLE,9.0,,08B,2001.0
1323598,13812,G010100,TO VEHICLE,6.0,,14,2001.0
1323600,13813,G017763,$500 AND UNDER,19.0,,6,2001.0
1323601,13814,G014518,SIMPLE,2.0,,08B,2001.0
1323606,13815,G015684,BOGUS CHECK,9.0,,11,2001.0
1323607,13816,G015993,STRONGARM - NO WEAPON,2.0,,3,2001.0
1323609,13817,G011099,SIMPLE,6.0,,08B,2001.0
1323610,13818,G016691,TO VEHICLE,15.0,,14,2001.0
1323613,13819,G014816,SIMPLE,2.0,,08A,2001.0
1323615,13820,G015401,$500 AND UNDER,3.0,,6,2001.0
1323621,13821,G011180,SIMPLE,6.0,,08B,2001.0
1323626,13822,G017122,OVER $500,2.0,,6,2001.0
1323629,13823,G017785,UNLAWFUL ENTRY,2.0,,5,2001.0
1323631,13824,G011303,SIMPLE,6.0,,08B,2001.0
1323633,13825,G013769,SIMPLE,25.0,,08B,2001.0
1323636,13826,G017795,$500 AND UNDER,10.0,,6,2001.0
1323638,13827,G011385,SEX OFFENDER: FAIL TO REGISTER,6.0,,26,2001.0
1323641,13828,G017798,ATT: AUTOMOBILE,9.0,,7,2001.0
1323643,13829,G015937,SIMPLE,3.0,,08B,2001.0
1323645,13830,G014334,AUTOMOBILE,6.0,,7,2001.0
1323647,13831,G012725,PUBLIC INDECENCY,18.0,,17,2001.0
1323648,13832,G011491,$500 AND UNDER,6.0,,6,2001.0
1323650,13833,G015432,AUTOMOBILE,6.0,,7,2001.0
1323652,13834,G015009,AUTOMOBILE,3.0,,7,2001.0
1323654,13835,G014461,SIMPLE,25.0,,08B,2001.0
1323655,13836,G008216,$500 AND UNDER,18.0,,6,2001.0
1323657,13837,G017636,TO VEHICLE,14.0,,14,2001.0
1323659,13838,G017821,TO PROPERTY,16.0,,14,2001.0
1323660,13839,G017840,TO VEHICLE,8.0,,14,2001.0
1323661,13840,G014696,TO VEHICLE,25.0,,14,2001.0
1323664,13841,G012964,TO STATE SUP LAND,18.0,,26,2001.0
1323667,13842,G014576,SIMPLE,25.0,,08B,2001.0
1323670,13843,G005456,BOGUS CHECK,8.0,,11,2001.0
1323671,13844,G013808,$500 AND UNDER,18.0,,6,2001.0
1323675,13845,G017868,$500 AND UNDER,1.0,,6,2001.0
1323678,13846,G014136,SIMPLE,18.0,,08A,2001.0
1323680,13847,G016598,SIMPLE,15.0,,08B,2001.0
1323681,13848,G016932,OTHER CRIME INVOLVING PROPERTY,3.0,,26,2001.0
1323683,13849,G011587,TO PROPERTY,6.0,,14,2001.0
1323684,13850,G015609,SIMPLE,3.0,,08B,2001.0
1323686,13851,G014380,SIMPLE,2.0,,08B,2001.0
1323687,13852,G017882,STRONGARM - NO WEAPON,8.0,,3,2001.0
1323691,13853,G010990,UNLAWFUL POSS OF HANDGUN,11.0,,15,2001.0
1323692,13854,G017854,TO VEHICLE,6.0,,14,2001.0
1323693,13855,G016925,TO VEHICLE,15.0,,14,2001.0
1323694,13856,G017790,TO VEHICLE,10.0,,14,2001.0
1323696,13857,G014588,AGGRAVATED: OTHER DANG WEAPON,25.0,,04A,2001.0
1323697,13858,G017899,$500 AND UNDER,6.0,,6,2001.0
1323699,13859,G017907,FORCIBLE ENTRY,20.0,,5,2001.0
1323702,13860,G017888,$500 AND UNDER,19.0,,6,2001.0
1323703,13861,G016095,OVER $500,15.0,,6,2001.0
1323706,13862,G012805,$500 AND UNDER,11.0,,6,2001.0
1323707,13863,G017912,OVER $500,17.0,,6,2001.0
1323712,13864,G016918,SIMPLE,15.0,,08A,2001.0
1323715,13865,G017927,HARASSMENT BY TELEPHONE,14.0,,26,2001.0
1323716,13866,G016122,SIMPLE,11.0,,08B,2001.0
1323717,13867,G011804,$500 AND UNDER,6.0,,6,2001.0
1323720,13868,G017937,TO PROPERTY,8.0,,14,2001.0
1323722,13869,G017941,$500 AND UNDER,12.0,,6,2001.0
1323723,13870,G014286,SIMPLE,2.0,,08B,2001.0
1323726,13871,G015844,OTHER VEHICLE OFFENSE,11.0,,26,2001.0
1323734,13872,G006699,TO VEHICLE,8.0,,14,2001.0
1323735,13873,G016778,SIMPLE,15.0,,08B,2001.0
1323742,13874,G017008,AGGRAVATED: OTHER DANG WEAPON,11.0,,04B,2001.0
1323745,13875,G001424,CREDIT CARD FRAUD,8.0,,11,2001.0
1323746,13876,G011845,SIMPLE,6.0,,08B,2001.0
1323747,13877,G017720,$500 AND UNDER,18.0,,6,2001.0
1323750,13878,G017948,TO VEHICLE,5.0,,14,2001.0
1323754,13879,G016882,SIMPLE,15.0,,08A,2001.0
1323760,13880,G017721,OVER $500,22.0,,6,2001.0
1323761,13881,G011709,$500 AND UNDER,6.0,,6,2001.0
1323763,13882,G016520,SIMPLE,15.0,,08A,2001.0
1323770,13883,G011296,COUNTERFEITING DOCUMENT,25.0,,10,2001.0
1323772,13884,G017137,TO VEHICLE,11.0,,26,2001.0
1323773,13885,G017971,AUTOMOBILE,2.0,,7,2001.0
1323775,13886,G009454,THEFT/RECOVERY: AUTOMOBILE,2.0,,7,2001.0
1323780,13887,G017968,OVER $500,4.0,,6,2001.0
1323788,13888,G005489,SIMPLE,8.0,,08B,2001.0
1323794,13889,G012719,THEFT/RECOVERY: AUTOMOBILE,6.0,,7,2001.0
1323795,13890,G018007,$500 AND UNDER,3.0,,6,2001.0
1323798,13891,G017501,$500 AND UNDER,11.0,,6,2001.0
1323801,13892,G008745,SIMPLE,8.0,,08B,2001.0
1323806,13893,G016650,SIMPLE,25.0,,08B,2001.0
1323809,13894,G017530,OVER $500,8.0,,6,2001.0
1323811,13895,G009485,OTHER CRIME INVOLVING PROPERTY,8.0,,26,2001.0
1323812,13896,G008418,SIMPLE,8.0,,08B,2001.0
1323816,13897,G018012,$500 AND UNDER,9.0,,6,2001.0
1323818,13898,G016832,SIMPLE,25.0,,08B,2001.0
1323822,13899,G018017,AGGRAVATED: HANDGUN,24.0,,04A,2001.0
1323824,13900,G018023,$500 AND UNDER,1.0,,6,2001.0
1323827,13901,G010908,AUTOMOBILE,6.0,,7,2001.0
1323829,13902,G017070,AGGRAVATED: OTHER DANG WEAPON,25.0,,04B,2001.0
1323833,13903,G008981,TO VEHICLE,8.0,,14,2001.0
1323834,13904,G011945,AGGRAVATED: HANDGUN,6.0,,04A,2001.0
1323838,13905,G017158,TO LAND,25.0,,26,2001.0
1323840,13906,G006824,SIMPLE,8.0,,08B,2001.0
1323842,13907,G016168,SIMPLE,5.0,,08B,2001.0
1323853,13908,G013313,AGGRAVATED:KNIFE/CUTTING INSTR,25.0,,04B,2001.0
1323863,13909,G011141,AGGRAVATED: OTHER DANG WEAPON,6.0,,04B,2001.0
1323864,13910,G018061,ARMED: HANDGUN,7.0,,3,2001.0
1323865,13911,G018068,TO VEHICLE,25.0,,14,2001.0
1323866,13912,G018060,TO VEHICLE,4.0,,14,2001.0
1323867,13913,G017095,SIMPLE,11.0,,08B,2001.0
1323869,13914,G018010,$500 AND UNDER,12.0,,6,2001.0
1323875,13915,G008185,SIMPLE,8.0,,08A,2001.0
1323876,13916,G018067,SIMPLE,8.0,,08B,2001.0
1323877,13917,G012427,TO VEHICLE,6.0,,14,2001.0
1323879,13918,G018073,SIMPLE,10.0,,08B,2001.0
1323880,13919,G005548,TO LAND,11.0,,26,2001.0
1323881,13920,G017652,"THEFT BY LESSEE,MOTOR VEH",12.0,,11,2001.0
1323887,13921,G007893,SIMPLE,8.0,,08B,2001.0
1323888,13922,G013318,AGGRAVATED VEHICULAR HIJACKING,11.0,,3,2001.0
1323893,13923,G008058,SIMPLE,8.0,,08B,2001.0
1323896,13924,G012589,THEFT OF LABOR/SERVICES,6.0,,11,2001.0
1323897,13925,G018078,$500 AND UNDER,25.0,,6,2001.0
1323898,13926,G018088,SIMPLE,11.0,,08B,2001.0
1323899,13927,G009798,FORCIBLE ENTRY,11.0,,5,2001.0
1323901,13928,G015314,$500 AND UNDER,3.0,,6,2001.0
1323902,13929,G006476,SIMPLE,8.0,,08B,2001.0
1323903,13930,G011177,$500 AND UNDER,8.0,,6,2001.0
1323906,13931,G018083,OVER $500,16.0,,6,2001.0
1323907,13932,G017904,"TRUCK, BUS, MOTOR HOME",7.0,,7,2001.0
1323908,13933,G006548,SIMPLE,8.0,,08A,2001.0
1323911,13934,G017920,$500 AND UNDER,11.0,,6,2001.0
1323914,13935,G015227,TO PROPERTY,3.0,,14,2001.0
1323915,13936,G016404,SIMPLE,11.0,,08A,2001.0
1323916,13937,G018084,TO PROPERTY,8.0,,14,2001.0
1323917,13938,G010992,OVER $500,8.0,,6,2001.0
1323921,13939,G018103,SIMPLE,11.0,,08B,2001.0
1323923,13940,G017635,"THEFT/RECOVERY: TRUCK,BUS,MHOME",1.0,,7,2001.0
1323926,13941,G012594,SIMPLE,6.0,,08B,2001.0
1323927,13942,G018090,TO PROPERTY,4.0,,14,2001.0
1323929,13943,G001743,AGGRAVATED: HANDGUN,11.0,,04A,2001.0
1323930,13944,G018094,$500 AND UNDER,18.0,,6,2001.0
1323931,13945,G010559,OVER $500,8.0,,6,2001.0
1323934,13946,G015048,SIMPLE,3.0,,08B,2001.0
1323936,13947,G018113,$500 AND UNDER,16.0,,6,2001.0
1323940,13948,G012059,$500 AND UNDER,3.0,,6,2001.0
1323947,13949,G009030,$500 AND UNDER,8.0,,6,2001.0
1323950,13950,G014963,SIMPLE,3.0,,08B,2001.0
1323963,13951,G003917,MANU/DEL:CANNABIS OVER 10 GMS,7.0,,18,2001.0
1323964,13952,G015541,TO PROPERTY,3.0,,14,2001.0
1323965,13953,G018137,"TRUCK, BUS, MOTOR HOME",10.0,,7,2001.0
1323966,13954,G016696,TO VEHICLE,11.0,,14,2001.0
1323967,13955,G018146,$500 AND UNDER,16.0,,6,2001.0
1323968,13956,G009502,THEFT OF LABOR/SERVICES,7.0,,11,2001.0
1323973,13957,G003647,MANU/DEL:CANNABIS OVER 10 GMS,7.0,,18,2001.0
1323975,13958,G016731,SIMPLE,3.0,,08A,2001.0
1323981,13959,G004285,POSS: CRACK,7.0,,18,2001.0
1323982,13960,G010986,SIMPLE,7.0,,08B,2001.0
1323983,13961,G017164,SIMPLE,3.0,,08A,2001.0
1323987,13962,G016872,ARMED: HANDGUN,11.0,,3,2001.0
1323989,13963,G014119,AGGRAVATED: HANDGUN,7.0,,04A,2001.0
1323991,13964,G014532,SIMPLE,7.0,,08B,2001.0
1323994,13965,G018176,AUTOMOBILE,18.0,,7,2001.0
1323995,13966,G016158,TO PROPERTY,11.0,,14,2001.0
1323998,13967,G016664,AGGRAVATED: OTHER DANG WEAPON,11.0,,04B,2001.0
1323999,13968,G018179,OVER $500,19.0,,6,2001.0
1324,13969,HH119162,FIRST DEGREE MURDER,10.0,24.0,01A,2002.0
1324003,13970,G017169,SIMPLE,7.0,,08B,2001.0
1324006,13971,G010252,OTHER CRIME AGAINST PERSON,25.0,,26,2001.0
1324007,13972,G018183,OVER $500,12.0,,6,2001.0
1324008,13973,G016318,AGGRAVATED: OTHER DANG WEAPON,11.0,,04B,2001.0
1324009,13974,G014572,SIMPLE,3.0,,08A,2001.0
1324012,13975,G016531,AGG PO HANDS NO/MIN INJURY,11.0,,08B,2001.0
1324016,13976,G018221,SIMPLE,12.0,,08A,2001.0
1324017,13977,G010745,TO VEHICLE,25.0,,26,2001.0
1324018,13978,G015910,ARMED: HANDGUN,11.0,,3,2001.0
1324019,13979,G018226,$500 AND UNDER,16.0,,6,2001.0
1324022,13980,G018214,$500 AND UNDER,6.0,,6,2001.0
1324023,13981,G010321,SIMPLE,25.0,,08A,2001.0
1324024,13982,G015729,SIMPLE,11.0,,08B,2001.0
1324026,13983,G015303,SIMPLE,11.0,,08B,2001.0
1324028,13984,G018231,TELEPHONE THREAT,1.0,,26,2001.0
1324032,13985,G018242,AGGRAVATED: HANDGUN,14.0,,04A,2001.0
1324033,13986,G015381,SIMPLE,3.0,,08B,2001.0
1324036,13987,G010791,TO VEHICLE,25.0,,14,2001.0
1324040,13988,G018174,$500 AND UNDER,18.0,,6,2001.0
1324041,13989,G018270,OVER $500,24.0,,6,2001.0
1324043,13990,G017897,SIMPLE,7.0,,08B,2001.0
1324044,13991,G009866,ENDANGERING LIFE/HEALTH CHILD,25.0,,26,2001.0
1324046,13992,G018280,UNLAWFUL ENTRY,22.0,,5,2001.0
1324047,13993,G018271,TELEPHONE THREAT,11.0,,26,2001.0
